TAIR10,TAIR10 description,LF - Bo,,MF1 - Bo,MF2 - Bo
AT3G26710,CCB1 (COFACTOR ASSEMBLY OF COMPLEX C),Bo7g083850,,Bo00285s410,-
AT3G26720,glycosyl hydrolase family 38 protein,Bo7g083860,,-,-
AT3G26730,zinc finger (C3HC4-type RING finger) family protein,-,,Bo00285s420,-
AT3G26740,CCL (CCR-LIKE),na ,,na ,na 
AT3G26742,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26744,ICE1 (INDUCER OF CBF EXPRESSION 1); DNA binding / transcription activator/ transcription factor,Bo7g083870,,Bo00285s440,Bo9g008020
AT3G26747,pre-tRNA,na ,,na ,na 
AT3G26750,unknown protein,Bo7g083880,,-,-
AT3G26760,short-chain dehydrogenase/reductase (SDR) family protein,Bo7g083890,,Bo00285s450,-
AT3G26770,short-chain dehydrogenase/reductase (SDR) family protein,na ,,na ,na 
AT3G26775,pseudogene F-box protein similar to F-box protein,na ,,na ,na 
AT3G26780,catalytic,-,,Bo00285s510,-
AT3G26782,LOCATED IN: mitochondrion; EXPRESSED IN: seed; EXPRESSED DURING: E expanded cotyledon stage; CONTAINS InterPro DOMAIN/s: Pentatricopeptide repeat (InterPro:IPR002885); BEST Arabidopsis thaliana protein match is: pentatricopeptide (PPR) repeat-containing protein (TAIR:AT3G23330.1); Has 13812 Blast hits to 4961 proteins in 140 species: Archae - 0; Bacteria - 2; Metazoa - 58; Fungi - 30; Plants - 13522; Viruses - 0; Other Eukaryotes - 200 (source: NCBI BLink).,-,,-,Bo9g008030
AT3G26790,FUS3 (FUSCA 3); DNA binding / transcription activator/ transcription factor,Bo7g083910,,Bo00285s530,-
AT3G26800,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26805,pseudogene aspartic protease  blastp match of 37% identity and 5.3e-11 P-value to GP|4389326|pdb|1B5F|A Chain A Native Cardosin A From Cynara Cardunculus L. >GP|6729875|pdb|1B5F|C Chain C Native Cardosin A From Cynara Cardunculus L,na ,,na ,na 
AT3G26810,AFB2 (AUXIN SIGNALING F-BOX 2); auxin binding / ubiquitin-protein ligase,-,,Bo00285s550,-
AT3G26812,MIR169I; miRNA,na ,,na ,na 
AT3G26813,MIR169J; miRNA,na ,,na ,na 
AT3G26815,MIR169K; miRNA,na ,,na ,na 
AT3G26816,MIR169L; miRNA,na ,,na ,na 
AT3G26818,MIR169M; miRNA,na ,,na ,na 
AT3G26819,MIR169N; miRNA,na ,,na ,na 
AT3G26820,esterase/lipase/thioesterase family protein,Bo7g083930,,Bo00285s570,-
AT3G26830,PAD3 (PHYTOALEXIN DEFICIENT 3); dihydrocamalexic acid decarboxylase/ monooxygenase/ oxygen binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26840,esterase/lipase/thioesterase family protein,na ,,na ,na 
AT3G26850,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 11 growth stages; BEST Arabidopsis thaliana protein match is: zinc finger protein-related (TAIR:AT3G18640.1); Has 91 Blast hits to 91 proteins in 23 species: Archae - 0; Bacteria - 0; Metazoa - 22; Fungi - 0; Plants - 49; Viruses - 4; Other Eukaryotes - 16 (source: NCBI BLink).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26855,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: RNA-directed DNA polymerase (reverse transcriptase) related (InterPro:IPR015706); BEST Arabidopsis thaliana protein match is: reverse transcriptase-related (TAIR:AT2G02650.1); Has 97 Blast hits to 97 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 97; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26860,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 9 plant structures; EXPRESSED DURING: L mature pollen stage M germinated pollen stage 4 anthesis C globular stage petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Plant self-incompatibility S1 (InterPro:IPR010264); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G27331.1); Has 41 Blast hits to 41 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 41; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,-,,-,-
AT3G26870,self-incompatibility protein-related,na ,,na ,na 
AT3G26872,Pseudogene of AT3G26880; self-incompatibility protein-related,na ,,na ,na 
AT3G26880,self-incompatibility protein-related,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26890,unknown protein,na ,,na ,na 
AT3G26900,shikimate kinase family protein,na ,,na ,na 
AT3G26910,hydroxyproline-rich glycoprotein family protein,na ,,na ,na 
AT3G26920,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 7 plant structures; EXPRESSED DURING: 4 anthesis C globular stage petal differentiation and expansion stage E expanded cotyledon stage; CONTAINS InterPro DOMAIN/s: FBD (InterPro:IPR013596) FBD-like (InterPro:IPR006566) Leucine-rich repeat 2 (InterPro:IPR013101); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G13965.1); Has 1853 Blast hits to 1457 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 2; Plants - 1849; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,Bo7g084020,,-,Bo9g008040
AT3G26922,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Cyclin-like F-box (InterPro:IPR001810) Leucine-rich repeat 2 (InterPro:IPR013101); BEST Arabidopsis thaliana protein match is: F-box family protein (TAIR:AT3G52680.2).,na ,,na ,na 
AT3G26930,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: sperm cell; CONTAINS InterPro DOMAIN/s: FBD (InterPro:IPR013596) FBD-like (InterPro:IPR006566) Leucine-rich repeat 2 (InterPro:IPR013101); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G13965.1); Has 678 Blast hits to 661 proteins in 16 species: Archae - 0; Bacteria - 2; Metazoa - 21; Fungi - 0; Plants - 651; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink).,na ,,na ,na 
AT3G26932,DRB3 (dsRNA-binding protein 3); RNA binding / double-stranded RNA binding,-,,Bo00285s640,Bo9g008070
AT3G26934,unknown protein,-,,-,Bo9g008060
AT3G26935,zinc finger (DHHC type) family protein,Bo7g084050,,Bo00285s650,Bo9g008080
AT3G26940,CDG1 (CONSTITUTIVE DIFFERENTIAL GROWTH 1); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase,Bo7g084060,,Bo00285s660,-
AT3G26950,unknown protein,Bo7g084070,,-,-
AT3G26960,unknown protein,na ,,na ,na 
AT3G26980,MUB4 (MEMBRANE-ANCHORED UBIQUITIN-FOLD PROTEIN 4 PRECURSOR),na ,,na ,na 
AT3G26990,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF618 (InterPro:IPR006903) Regulation of nuclear pre-mRNA protein (InterPro:IPR006569) ENTH/VHS (InterPro:IPR008942); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G10060.1); Has 815 Blast hits to 806 proteins in 138 species: Archae - 0; Bacteria - 10; Metazoa - 490; Fungi - 159; Plants - 81; Viruses - 1; Other Eukaryotes - 74 (source: NCBI BLink).,Bo7g084080,,-,Bo9g008090
AT3G27000,ARP2 (ACTIN RELATED PROTEIN 2); protein binding / structural constituent of cytoskeleton,Bo7g084110,,-,Bo9g008100
AT3G27010,AT-TCP20; transcription factor,Bo7g084120,,Bo2g140240,Bo9g008110
AT3G27020,YSL6 (YELLOW STRIPE LIKE 6); oligopeptide transporter,-,,-,Bo9g008120
AT3G27025,unknown protein,Bo7g084150,,Bo2g140270,-
AT3G27027,unknown protein,Bo7g084170;Bo7g084160,,Bo2g140290;Bo2g140280,-
AT3G27030,unknown protein,na ,,na ,na 
AT3G27040,meprin and TRAF homology domain-containing protein / MATH domain-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G27050,unknown protein,-,,-,Bo9g008130
AT3G27060,TSO2 (TSO meaning 'ugly' in Chinese); oxidoreductase/ ribonucleoside-diphosphate reductase/ transition metal ion binding,Bo7g084180,,Bo2g140330,-
AT3G27070,TOM20-1 (translocase outer membrane 20-1); P-P-bond-hydrolysis-driven protein transmembrane transporter,-,,Bo2g140370,-
AT3G27080,TOM20-3 (TRANSLOCASE OF OUTER MEMBRANE 20 KDA SUBUNIT 3); P-P-bond-hydrolysis-driven protein transmembrane transporter,na ,,na ,na 
AT3G27090,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Development and cell death domain (InterPro:IPR013989) Kelch related (InterPro:IPR013089); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G42050.1); Has 642 Blast hits to 564 proteins in 35 species: Archae - 0; Bacteria - 2; Metazoa - 12; Fungi - 0; Plants - 155; Viruses - 0; Other Eukaryotes - 473 (source: NCBI BLink).,Bo7g084190,,Bo2g140380,Bo9g008140
AT3G27095,pseudogene hypothetical protein similar to putative CHP-rich zinc finger protein GB:AAD22655 from (Arabidopsis thaliana),na ,,na ,na 
AT3G27100,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Transcription factor enhancer of yellow 2 (InterPro:IPR018783); Has 157 Blast hits to 157 proteins in 56 species: Archae - 0; Bacteria - 0; Metazoa - 121; Fungi - 0; Plants - 24; Viruses - 0; Other Eukaryotes - 12 (source: NCBI BLink).,Bo7g084200,,-,Bo9g008150
AT3G27110,peptidase M48 family protein,Bo7g084210,,-,-
AT3G27120,ATP binding / ATPase/ nucleoside-triphosphatase/ nucleotide binding,-,,Bo2g140390,-
AT3G27130,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: ATP binding / ATPase/ nucleoside-triphosphatase/ nucleotide binding (TAIR:AT3G27120.1); Has 12 Blast hits to 12 proteins in 5 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 12; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,na ,,na ,na 
AT3G27140,protein phosphatase 2C putative / PP2C putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G27150,kelch repeat-containing F-box family protein,Bo7g084220,,Bo2g140400,-
AT3G27160,GHS1 (GLUCOSE HYPERSENSITIVE 1); structural constituent of ribosome,-,,Bo2g140420,Bo9g008160
AT3G27170,CLC-B (CHLORIDE CHANNEL B); anion channel/ voltage-gated chloride channel,-,,Bo2g140440,-
AT3G27180,unknown protein,Bo7g084280,,-,-
AT3G27190,uracil phosphoribosyltransferase putative / UMP pyrophosphorylase putative / UPRTase putative,Bo7g084300,,Bo2g140450,-
AT3G27200,plastocyanin-like domain-containing protein,Bo7g084310,,Bo2g140480,-
AT3G27210,unknown protein,Bo7g084320,,Bo2g140490,-
AT3G27220,kelch repeat-containing protein,Bo7g084330,,-,-
AT3G27230,LOCATED IN: Golgi apparatus; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: methyltransferase (TAIR:AT5G40830.2); Has 184 Blast hits to 183 proteins in 14 species: Archae - 0; Bacteria - 2; Metazoa - 0; Fungi - 0; Plants - 182; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,-,,Bo2g140500,Bo9g008170
AT3G27240,cytochrome c1 putative,Bo7g084340,,Bo2g140510,Bo9g008180
AT3G27250,unknown protein,Bo7g084370,,Bo2g140520,-
AT3G27260,GTE8; DNA binding,Bo7g084380,,-,Bo9g008190
AT3G27270,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system integral to membrane; EXPRESSED IN: sperm cell leaf whorl embryo flower seed; EXPRESSED DURING: F mature embryo stage petal differentiation and expansion stage D bilateral stage E expanded cotyledon stage; CONTAINS InterPro DOMAIN/s: TRAM LAG1 and CLN8 homology (InterPro:IPR006634); BEST Arabidopsis thaliana protein match is: DNA-binding storekeeper protein-related (TAIR:AT5G14280.1); Has 41 Blast hits to 41 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 39; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).,-,,Bo2g140560,-
AT3G27280,ATPHB4 (PROHIBITIN 4),Bo7g084390,,-,Bo9g008210
AT3G27283,Encodes a defensin-like (DEFL) family protein.,na ,,na ,na 
AT3G27290,F-box family protein-related,-,,-,Bo9g008220
AT3G27300,G6PD5 (glucose-6-phosphate dehydrogenase 5); glucose-6-phosphate dehydrogenase,Bo7g084410,,-,Bo9g008230
AT3G27310,PUX1 (PLANT UBX DOMAIN-CONTAINING PROTEIN 1),Bo7g084420,,-,-
AT3G27320,hydrolase,-,,Bo2g140580,-
AT3G27321,Pseudogene of AT1G08985; DNA-binding protein,na ,,na ,na 
AT3G27325,hydrolase acting on ester bonds,Bo7g084400,,Bo2g140600,-
AT3G27327,transposable element gene,na ,,na ,na 
AT3G27328,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G27329,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Plant self-incompatibility S1 (InterPro:IPR010264); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G27331.1); Has 48 Blast hits to 48 proteins in 4 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 48; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G27330,zinc finger (C3HC4-type RING finger) family protein,Bo7g084460,,Bo2g140630,-
AT3G27331,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Plant self-incompatibility S1 (InterPro:IPR010264); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G27329.1); Has 48 Blast hits to 48 proteins in 4 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 48; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,na ,,na ,na 
AT3G27340,unknown protein,Bo7g084470,,Bo2g140640,-
AT3G27350,unknown protein,Bo7g084490,,Bo2g140650,-
AT3G27360,histone H3,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G27380,SDH2-1; electron carrier/ succinate dehydrogenase,Bo7g084520,,Bo2g140660,Bo9g008240
AT3G27390,unknown protein,Bo7g084530,,Bo2g140680,-
AT3G27400,pectate lyase family protein,Bo7g084540,,Bo2g140690,Bo9g008250
AT3G27410,unknown protein,Bo7g084550,,Bo2g141690,-
AT3G27415,unknown protein,na ,,na ,na 
AT3G27416,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G27420,unknown protein,na ,,na ,na 
AT3G27425,Encodes a ECA1 gametogenesis related family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G27430,PBB1; endopeptidase/ peptidase/ threonine-type endopeptidase,na ,,na ,na 
AT3G27440,uracil phosphoribosyltransferase putative / UMP pyrophosphorylase putative / UPRTase putative,na ,,na ,na 
AT3G27450,pseudogene 40S ribosomal protein S21 (RPS21A) similar to 40S ribosomal subunit protein S21 GB:CAA70852 (Zea mays); contains Pfam profile: PF01249 ribosomal protein S21e; can not identify a start codon for an ORF; blastp match of 81% identity and 4.5e-23 P-value to GP|1707868|emb|CAA70852.1||Y09636 40S ribosomal subunit protein S21 {Zea mays},na ,,na ,na 
AT3G27460,unknown protein,Bo7g084600,,Bo2g141730;Bo2g141740;Bo2g142760,-
AT3G27470,unknown protein,na ,,na ,na 
AT3G27473,DC1 domain-containing protein,Bo7g085670,,-,-
AT3G27480,DC1 domain-containing protein,na ,,na ,na 
AT3G27490,DC1 domain-containing protein,na ,,na ,na 
AT3G27500,protein binding / zinc ion binding,na ,,na ,na 
AT3G27503,SCRL19 (SCR-Like 19),no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G27510,protein binding / zinc ion binding,na ,,na ,na 
AT3G27520,unknown protein,Bo7g085660,,-,Bo9g008290
AT3G27530,GC6 (golgin candidate 6); binding / protein transporter,Bo7g085680,,Bo2g143820,-
AT3G27540,glycosyl transferase family 17 protein,Bo7g085690,,-,-
AT3G27550,group II intron splicing factor CRS1-related,na ,,na ,na 
AT3G27555,pre-tRNA,na ,,na ,na 
AT3G27560,ATN1; kinase/ protein serine/threonine kinase/ protein serine/threonine/tyrosine kinase/ protein tyrosine kinase,na ,,na ,na 
AT3G27570,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335) Sucraseferredoxin-like (InterPro:IPR009737) Thioredoxin-like fold (InterPro:IPR012336); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G40510.1); Has 291 Blast hits to 291 proteins in 98 species: Archae - 6; Bacteria - 47; Metazoa - 0; Fungi - 168; Plants - 40; Viruses - 0; Other Eukaryotes - 30 (source: NCBI BLink).,Bo7g085710,,Bo2g143840,-
AT3G27580,ATPK7; kinase/ protein serine/threonine kinase,Bo7g085720,,-,-
AT3G27590,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G27600,RNA binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G27610,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: nucleotidyltransferase (TAIR:AT2G01220.2); Has 367 Blast hits to 361 proteins in 33 species: Archae - 6; Bacteria - 21; Metazoa - 0; Fungi - 3; Plants - 35; Viruses - 0; Other Eukaryotes - 302 (source: NCBI BLink).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G27620,AOX1C; alternative oxidase,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G27630,unknown protein,Bo7g085840;Bo7g085800,,-,Bo9g008310
AT3G27640,transducin family protein / WD-40 repeat family protein,Bo7g085850,,-,-
AT3G27650,LBD25 (LOB DOMAIN-CONTAINING PROTEIN 25),Bo7g085860,,Bo2g144870,Bo9g008330
AT3G27660,OLEO4 (OLEOSIN 4),-,,Bo2g144890,Bo9g008340
AT3G27670,RST1 (RESURRECTION1); binding,Bo7g085880,,-,-
AT3G27680,self-incompatibility protein-related,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G27690,LHCB2.3; chlorophyll binding,Bo7g085890,,Bo2g144900,Bo9g008350
AT3G27700,RNA recognition motif (RRM)-containing protein,Bo7g085900,,Bo2g144910,-
AT3G27710,zinc finger protein-related,-,,Bo2g144940,Bo9g008360
AT3G27720,zinc finger protein-related,na ,,na ,na 
